@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,pii,prism:issn,pubmed-id,freetoread,freetoreadLabel,prism:isbn
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105007317487'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105007317487?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007317487&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105007317487&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105007317487,SCOPUS_ID:105007317487,2-s2.0-105007317487,Online shopping intent on ai-integrated e commerce platforms among students in Ho Chi Minh City: The role of attitudes and trust toward AI,Giang N.T.P.,Multidisciplinary Reviews,25953982,8,11,,2025-11-01,November 2025,10.31893/multirev.2025367,0,"[{'@_fa': 'true', 'affilname': 'Industrial University of Ho Chi Minh City', 'affiliation-city': 'Ho Chi Minh City', 'affiliation-country': 'Viet Nam'}]",Journal,ar,Article,e2025367,21101163455,0,False,,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105008432448'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105008432448?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105008432448&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105008432448&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2772503025000374'}]",https://api.elsevier.com/content/abstract/scopus_id/105008432448,SCOPUS_ID:105008432448,2-s2.0-105008432448,A micro-influencer recommender method based on brand features using deep learning approaches,Shayegan M.J.,Telematics and Informatics Reports,27725030,19,,,2025-09-01,September 2025,10.1016/j.teler.2025.100222,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Culture, Tehran', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",Journal,ar,Article,100222,21101165606,0,False,S2772503025000374,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004591271'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004591271?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004591271&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105004591271&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105004591271,SCOPUS_ID:105004591271,2-s2.0-105004591271,Machine and deep learning for personality traits detection: a comprehensive survey and open research challenges,Naz A.,Artificial Intelligence Review,15737462,58,8,,2025-08-01,August 2025,10.1007/s10462-025-11245-3,0,"[{'@_fa': 'true', 'affilname': 'University of Sargodha', 'affiliation-city': 'Sargodha', 'affiliation-country': 'Pakistan'}]",Journal,ar,Article,239,24141,0,False,,02692821,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105003135094'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105003135094?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003135094&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105003135094&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2667305325000493'}]",https://api.elsevier.com/content/abstract/scopus_id/105003135094,SCOPUS_ID:105003135094,2-s2.0-105003135094,Attention-enhanced LSTM for high-value customer behavior prediction: Insights from Thailand's E-commerce sector,Kasemrat R.,Intelligent Systems with Applications,,26,,,2025-06-01,June 2025,10.1016/j.iswa.2025.200523,0,"[{'@_fa': 'true', 'affilname': 'Rangsit University', 'affiliation-city': 'Pathum Thani', 'affiliation-country': 'Thailand'}]",Journal,ar,Article,200523,21101051831,1,True,S2667305325000493,26673053,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004187278'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004187278?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004187278&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105004187278&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2199853125000794'}]",https://api.elsevier.com/content/abstract/scopus_id/105004187278,SCOPUS_ID:105004187278,2-s2.0-105004187278,A framework for social media analytics in textile business circularity for effective digital marketing,Almashaleh O.,Journal of Open Innovation Technology Market and Complexity,21998531,11,2,,2025-06-01,June 2025,10.1016/j.joitmc.2025.100544,0,"[{'@_fa': 'true', 'affilname': 'Constructor University', 'affiliation-city': 'Bremen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'German Jordanian University', 'affiliation-city': 'Amman', 'affiliation-country': 'Jordan'}]",Journal,ar,Article,100544,21100887502,0,False,S2199853125000794,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004407869'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004407869?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004407869&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105004407869&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105004407869,SCOPUS_ID:105004407869,2-s2.0-105004407869,Application of machine learning in predicting consumer behavior and precision marketing,Lin J.,Plos One,19326203,20,5 May,,2025-05-01,May 2025,10.1371/journal.pone.0321854,1,"[{'@_fa': 'true', 'affilname': 'Yango University', 'affiliation-city': 'Fuzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,e0321854,10600153309,0,False,,,40327711,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105005146989'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105005146989?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005146989&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105005146989&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105005146989,SCOPUS_ID:105005146989,2-s2.0-105005146989,The Impact of Digital Marketing Campaign Strategies on Consumer Buying Intention,Shi Z.,Tehnicki Vjesnik,18486339,32,3,819-829,2025-05-01,1 May 2025,10.17559/TV-20240923002009,0,"[{'@_fa': 'true', 'affilname': 'Beijing City University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,,14569,0,False,,13303651,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85197280557'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85197280557?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197280557&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85197280557&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85197280557,SCOPUS_ID:85197280557,2-s2.0-85197280557,Predicted consumer buying behavior in neural marketing based on convolutional neural network and short-term long-term memory,Azadravesh H.,Multimedia Tools and Applications,15737721,84,16,16835-16851,2025-05-01,May 2025,10.1007/s11042-024-19742-3,1,"[{'@_fa': 'true', 'affilname': 'Islamic Azad University, Mashhad Branch', 'affiliation-city': 'Mashhad', 'affiliation-country': 'Iran'}]",Journal,ar,Article,,25627,0,False,,13807501,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004764539'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105004764539?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004764539&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105004764539&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105004764539,SCOPUS_ID:105004764539,2-s2.0-105004764539,Probing the intrinsic mechanism and evolution characteristics of online shopping customer satisfaction via text mining of online reviews,Wang M.,Plos One,19326203,20,5 May,,2025-05-01,May 2025,10.1371/journal.pone.0321202,0,"[{'@_fa': 'true', 'affilname': 'School of Economics and Management', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,e0321202,10600153309,0,False,,,40334236,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105005716988'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105005716988?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005716988&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105005716988&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105005716988,SCOPUS_ID:105005716988,2-s2.0-105005716988,A study on the diffusion model of new energy passenger vehicles with consideration of product value,Han Z.,Plos One,19326203,20,5 May,,2025-05-01,May 2025,10.1371/journal.pone.0323316,0,"[{'@_fa': 'true', 'affilname': 'Wenzhou University of Technology', 'affiliation-city': 'Wenzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,e0323316,10600153309,1,True,,,40388431,,,
